id,bus_stop_id,bus_id,enter_sum,exit_sum,bus_board_computer_sent_time,created_time,route_number,tickets_count
1943536686,3351,1130,0,13,2024-12-07T12:18:33.793,2024-12-07T12:23:55.523,50,0
1944382769,1583,1130,6,3,2024-12-07T15:19:20.206,2024-12-07T15:19:23.203,50,4
1942750230,1665,4901,9,0,2024-12-07T09:23:26.477,2024-12-07T09:28:44.387,12,11
1942714572,2366,1129,1,5,2024-12-07T09:13:17.693,2024-12-07T09:21:03.46,50,2
1944416426,1963,1129,5,8,2024-12-07T15:17:55.33,2024-12-07T15:26:59.704,50,1
1947459184,6027,4901,1,0,2024-12-08T06:42:04.877,2024-12-08T06:45:51.672,50,1
1941939751,2435,1122,7,1,2024-12-07T06:26:39.735,2024-12-07T06:27:37.672,50,4
1943589516,2225,1129,3,3,2024-12-07T12:28:36.696,2024-12-07T12:35:25.355,50,2
1952748354,2435,1130,10,0,2024-12-09T05:55:23.823,2024-12-09T05:56:21.212,50,11
1950153898,3355,1122,0,0,2024-12-08T17:01:11.846,2024-12-08T17:02:44.852,50,1
1953369391,1912,1122,5,26,2024-12-09T08:10:14.019,2024-12-09T08:17:32.56,50,1
1949241666,1961,4901,3,0,2024-12-08T13:25:31.817,2024-12-08T13:35:16.119,50,6
1954139850,2076,1122,0,2,2024-12-09T10:30:06.32,2024-12-09T10:30:33.726,50,0
1948411834,2227,1130,4,3,2024-12-08T10:14:16.846,2024-12-08T10:19:50.494,50,3
1944424913,1664,4901,0,3,2024-12-07T15:20:08.06,2024-12-07T15:28:59.097,12,0
1952771213,2763,1122,4,0,2024-12-09T06:07:59.826,2024-12-09T06:08:31.771,50,6
1950148359,2366,1130,5,8,2024-12-08T17:00:34.654,2024-12-08T17:01:18.416,50,6
1951398394,2222,1122,6,0,2024-12-08T20:16:31.841,2024-12-08T20:17:10.357,50,4
1943542925,1962,1129,12,4,2024-12-07T12:22:39.348,2024-12-07T12:25:30.661,50,11
1945355058,2085,1130,8,4,2024-12-07T18:10:36.214,2024-12-07T18:11:03.646,50,8
1946082459,2077,1129,1,1,2024-12-07T20:31:34.326,2024-12-07T20:33:23.526,50,0
1945345928,1964,1122,1,8,2024-12-07T18:05:16.587,2024-12-07T18:08:58.034,50,0
1946080340,2067,1120,1,0,2024-12-07T20:32:10.529,2024-12-07T20:32:42.838,50,1
1946105690,2067,1129,0,0,2024-12-07T20:39:19.353,2024-12-07T20:40:48.546,50,0
1947486216,3352,4901,0,0,2024-12-08T06:46:29.516,2024-12-08T06:54:36.478,50,2
1949242019,1961,1130,3,6,2024-12-08T13:33:15.863,2024-12-08T13:35:21.293,50,2
1947494677,1958,4901,6,1,2024-12-08T06:53:11.157,2024-12-08T06:57:28.178,50,11
1948422790,3355,4901,1,0,2024-12-08T10:17:40.141,2024-12-08T10:22:28.004,50,2
1952761677,6027,1122,2,0,2024-12-09T06:05:21.312,2024-12-09T06:05:51.248,50,2
1952782285,1479,1130,0,0,2024-12-09T06:08:16.808,2024-12-09T06:12:30.568,50,0
1941940345,6027,1130,3,0,2024-12-07T06:26:23.174,2024-12-07T06:27:56.102,50,2
1952775459,2435,1129,1,0,2024-12-09T06:07:01.482,2024-12-09T06:09:32.359,50,3
1954140538,2226,1129,1,0,2024-12-09T10:30:04.492,2024-12-09T10:30:41.566,50,0
1945347973,1756,1129,4,4,2024-12-07T18:08:58.94,2024-12-07T18:09:25.757,50,0
1943602588,2227,1129,2,2,2024-12-07T12:30:54.354,2024-12-07T12:38:46.298,50,3
1950166827,2928,1122,0,0,2024-12-08T17:03:26.851,2024-12-08T17:05:56.103,50,3
1951400776,6027,1129,0,0,2024-12-08T20:13:52.479,2024-12-08T20:17:51.591,50,0
1941968174,1665,4901,5,0,2024-12-07T06:38:14.329,2024-12-07T06:39:27.453,12,9
1942715499,2762,1130,0,0,2024-12-07T09:18:38.208,2024-12-07T09:21:14.172,50,0
1944429148,1543,4901,0,4,2024-12-07T15:21:08.902,2024-12-07T15:30:00.038,12,0
1953369470,2364,1129,3,6,2024-12-09T08:13:22.401,2024-12-09T08:17:33.083,50,3
1946082968,2075,1129,1,2,2024-12-07T20:32:49.727,2024-12-07T20:33:33.703,50,2
1951428891,2358,1122,1,4,2024-12-08T20:26:02.422,2024-12-08T20:26:23.247,50,3
1950154163,1955,1122,10,1,2024-12-08T17:02:16.846,2024-12-08T17:02:49.354,50,10
1943560763,2357,1120,2,16,2024-12-07T12:26:59.336,2024-12-07T12:28:22.901,50,1
1954165513,2237,1117,6,2,2024-12-09T10:33:06.064,2024-12-09T10:34:37.271,50,4
1944383766,2257,1129,19,7,2024-12-07T15:15:05.342,2024-12-07T15:19:36.845,50,11
1945441773,1962,1122,12,2,2024-12-07T18:21:06.586,2024-12-07T18:22:42.774,50,8
1946112708,2083,1130,0,3,2024-12-07T20:42:19.198,2024-12-07T20:43:03.691,50,0
1946113488,1916,4901,1,0,2024-12-07T20:39:30.377,2024-12-07T20:43:16.255,12,1
1942721281,2087,1122,0,1,2024-12-07T09:06:47.606,2024-12-07T09:22:27.938,50,0
1947488272,6027,1130,1,0,2024-12-08T06:54:39.852,2024-12-08T06:55:22.387,50,1
1942731803,1875,1120,0,1,2024-12-07T09:24:16.342,2024-12-07T09:24:43.829,50,0
1947512649,2928,1130,0,0,2024-12-08T07:00:04.875,2024-12-08T07:02:54.342,50,3
1942750528,1476,1122,0,0,2024-12-07T09:13:51.515,2024-12-07T09:28:48.417,50,0
1947532995,2353,4901,0,0,2024-12-08T07:05:26.224,2024-12-08T07:08:33.908,50,0
1952769560,3352,1122,2,0,2024-12-09T06:07:14.858,2024-12-09T06:07:41.366,50,2
1954145465,2757,1117,2,0,2024-12-09T10:27:08.002,2024-12-09T10:31:39.332,50,2
1953371896,2241,1130,3,3,2024-12-09T08:17:34.65,2024-12-09T08:18:02.414,50,7
1953428009,2064,1117,2,3,2024-12-09T08:19:18.757,2024-12-09T08:28:12.768,50,1
1941950846,3352,1130,9,0,2024-12-07T06:30:57.82,2024-12-07T06:31:42.859,50,9
1954213985,2119,1117,6,0,2024-12-09T10:40:53.96,2024-12-09T10:44:10.044,50,9
1949245851,6027,1122,1,1,2024-12-08T13:29:50.836,2024-12-08T13:36:19.439,50,0
1941956601,3354,1130,0,0,2024-12-07T06:33:08.18,2024-12-07T06:34:29.369,50,0
1948426520,2353,1130,0,2,2024-12-08T10:16:46.918,2024-12-08T10:23:21.779,50,0
1943562967,2119,1122,12,3,2024-12-07T12:27:44.589,2024-12-07T12:28:55.629,50,6
1950158345,2757,1130,12,4,2024-12-08T17:02:59.837,2024-12-08T17:03:52.104,50,6
1951409672,2227,1122,3,2,2024-12-08T20:20:08.836,2024-12-08T20:20:31.303,50,4
1944387536,1529,4901,5,1,2024-12-07T15:13:40.354,2024-12-07T15:20:24.062,12,6
1942760837,2763,1130,6,0,2024-12-07T09:30:30.918,2024-12-07T09:30:56.199,50,9
1944389834,2760,1120,1,2,2024-12-07T15:02:06.24,2024-12-07T15:20:43.026,50,0
1945332459,2699,1130,9,3,2024-12-07T18:05:42.684,2024-12-07T18:05:59.198,50,10
1945353972,3350,1122,0,3,2024-12-07T18:06:41.598,2024-12-07T18:10:47.326,50,0
1946091083,2356,1122,0,3,2024-12-07T20:34:01.581,2024-12-07T20:36:04.652,50,0
1946118681,1878,1129,0,0,2024-12-07T20:41:54.335,2024-12-07T20:45:01.266,50,0
1947488492,2763,4901,0,0,2024-12-08T06:47:11.165,2024-12-08T06:55:27.031,50,0
1947489868,1955,4901,0,0,2024-12-08T06:50:21.146,2024-12-08T06:55:57.301,50,2
1949249124,1962,4901,16,2,2024-12-08T13:28:06.802,2024-12-08T13:37:07.813,50,22
1941958057,1474,1122,0,0,2024-12-07T06:33:50.617,2024-12-07T06:35:09.879,50,0
1952776119,3354,1122,2,0,2024-12-09T06:09:11.316,2024-12-09T06:10:02.099,50,4
1948431862,2357,1130,1,5,2024-12-08T10:19:26.98,2024-12-08T10:24:42.124,50,1
1951415822,2135,4901,0,0,2024-12-08T20:16:53.633,2024-12-08T20:22:19.864,46,0
1942722817,1874,1120,0,1,2024-12-07T09:22:26.298,2024-12-07T09:22:49.393,50,0
1953374816,2227,1120,2,1,2024-12-09T08:10:40.404,2024-12-09T08:18:36.005,50,3
1954152446,1757,1117,2,6,2024-12-09T10:30:55.219,2024-12-09T10:32:59.763,50,2
1950164199,1755,1130,1,5,2024-12-08T17:04:29.82,2024-12-08T17:05:19.666,50,2
1954149226,1956,1130,2,2,2024-12-09T10:31:44.696,2024-12-09T10:32:24.594,50,2
1942752647,1475,1122,1,0,2024-12-07T09:15:43.605,2024-12-07T09:29:08.365,50,0
1942753537,2436,1122,0,0,2024-12-07T09:18:18.154,2024-12-07T09:29:19.021,50,0
1944441634,2362,1122,4,18,2024-12-07T15:25:32.681,2024-12-07T15:32:50.884,50,1
1945457123,2356,1129,2,1,2024-12-07T18:21:27.682,2024-12-07T18:26:22.429,50,4
1943570553,1965,1129,2,2,2024-12-07T12:25:09.368,2024-12-07T12:30:53.646,50,2
1944411228,1668,4901,0,0,2024-12-07T15:17:09.425,2024-12-07T15:25:47.129,12,0
1944428288,1960,1129,10,29,2024-12-07T15:20:05.32,2024-12-07T15:29:46.534,50,2
1944444881,2238,1130,3,1,2024-12-07T15:32:35.181,2024-12-07T15:33:34.999,50,4
1945459399,2259,1122,0,1,2024-12-07T18:25:40.104,2024-12-07T18:26:54.447,50,2
1945352376,2363,1120,4,10,2024-12-07T18:09:49.277,2024-12-07T18:10:25.185,50,9
1945449791,2226,1120,2,8,2024-12-07T18:22:55.526,2024-12-07T18:24:36.745,50,11
1946083945,2064,1120,0,2,2024-12-07T20:33:09.25,2024-12-07T20:33:54.76,50,0
1946092507,2121,4901,0,1,2024-12-07T20:30:30.412,2024-12-07T20:36:31.972,12,1
1941958222,3355,1130,2,0,2024-12-07T06:33:51.983,2024-12-07T06:35:15.217,50,1
